1 Q0 42920
1 P0 10263
1 SP 130406
1 FF 145790
1 DI 22770
1 CC 26353
1 DD 3341
1 VM 72673
1 AO 3313
1 DA 99616
1 WW 4655
1 VA 17163
1 VS 16184
1 II 23
1 ZZ 28188
1 CS 10508
1 DT 53
1 DR 115
1 DP 20
1 PR 11423
1 AQ 46277
1 PP 5577
1 PT 265
1 PX 7594
1 NC 155454
1 RG 21482
1 PD 889
1 NP 101253
1 RN 2787
1 PI 1618
2 NC sociales -10.5678107858
2 NP Observació -9.22279252117
2 WW 14_de_juny_de_2001 -8.44569718971
2 AQ retinal -10.7424003564
2 VM descobrir -7.53016355914
2 NP Becerro -10.8322304336
2 NP Fenton -11.5253776142
2 ZZ 1992-1995 -10.2466516344
2 ZZ 1992-1994 -10.2466516344
2 ZZ 1992-1997 -10.2466516344
2 NP Bundesliga -11.5253776142
2 NC invasions -10.0081949978
2 NC óxide -11.9541051469
2 VM representation -11.1937252053
2 NC boletes -11.9541051469
2 NP Djbel_Baddou -11.5253776142
2 NP Placido_Maria_Schiaffino -11.5253776142
2 NP Toledo -8.81732741306
2 AQ notoaktites -9.64378806772
2 NC extranjeros -11.9541051469
2 NP Alberto_Lattuada_La_Tempesta -11.5253776142
2 NC bàndol -8.58680931692
2 NC lligament -10.0081949978
2 NP Princesa_Louise_de_Stolberg-Gedern -11.5253776142
2 WW 16_de_juny_de_1612 -8.44569718971
2 VM likan -11.1937252053
2 NP Miyamoto_Musashi -11.5253776142
2 NC hurí -11.9541051469
2 NC camperolat -11.9541051469
2 NP Prim -11.5253776142
2 NC directors -9.65152005391
2 VM empenta -11.1937252053
2 AQ problemática -10.7424003564
2 NP Skate -11.5253776142
2 NC directora -9.38915578944
2 NP Anodonthyla -11.5253776142
2 NC reciclatge -10.8554928582
2 NC directori -11.9541051469
2 NC contorns -11.2609579663
2 NP Agriculture -10.8322304336
2 VM sentia -9.40196573604
2 NP Canònica_de_Santa_Maria_de_Covet -11.5253776142
2 NC encarregat -8.77605131655
2 AQ celta -10.0492531758
2 NP Jacques-Louis_David -11.5253776142
2 NP Pacific -11.5253776142
2 NC constants -10.8554928582
2 NP Llucifer -10.8322304336
2 NC visirs -11.2609579663
2 NP España -8.34732378381
2 NC hipòtesi -8.90958270918
2 NC brama -11.9541051469
2 NP Modernist_Chronicles -11.5253776142
2 NC constante -11.9541051469
2 VM sentir -7.82642937528
2 VM sentit -9.80743084415
2 NP Waffen-SS -9.44593607248
2 AQ amerindis -10.0492531758
2 VM motiven -11.1937252053
2 NP Ecclesia -11.5253776142
2 NP Comissió_Europea -11.5253776142
2 AQ apel·latiu -9.35610599527
2 NP Exèrcit_de_els_Estats_Units_d'_Amèrica -11.5253776142
2 NC detrits -11.9541051469
2 NP Sara -9.22279252117
2 ZZ 3660_kg -10.2466516344
2 AQ impulsiva -10.7424003564
2 AQ cròniques -9.35610599527
2 NP Nourith -11.5253776142
2 ZZ 30,40 -10.2466516344
2 NP Virginia -11.5253776142
2 NP Eulàlia_Duran -10.8322304336
2 NP Pegasianum -11.5253776142
2 NP Societé -11.5253776142
2 VM agradaven -11.1937252053
2 NP That_Contemptible_Little_Army_de_E._A._Powell -11.5253776142
2 NP Carretera_de_la_de_Montcada -11.5253776142
2 NP El_Camino_de_Santiago -10.8322304336
2 ZZ 1914-1918 -7.94406654145
2 NC militància -9.65152005391
2 NP Directors_de_l'_ORF -11.5253776142
2 VM recorden -10.5005780247
2 NP Caiman -11.5253776142
2 ZZ 1914-1915 -10.2466516344
2 NC travessada -10.8554928582
2 AQ posicional -10.7424003564
2 NP Annals -11.5253776142
2 VM recordem -11.1937252053
2 NP Famous_Last_Words -11.5253776142
2 NC ètims -11.9541051469
2 NC semieixos -11.2609579663
2 AQ veterinarios -10.0492531758
2 VM adquirint -9.40196573604
2 NC zhul -11.9541051469
2 VM exporten -11.1937252053
2 NP Romeeow -11.5253776142
2 NP Epicur -10.8322304336
2 NC seccions -9.75688056957
2 ZZ 39º -10.2466516344
2 VM Jugant -11.1937252053
2 NP Primer_Ministre_Luigi_Facta -11.5253776142
2 VM explorada -10.5005780247
2 NP Ciències_de_la_Comunicació_per_la_UAB -11.5253776142
2 NP Policles_de_Macedònia -11.5253776142
2 NP Jaume_Sorribas -11.5253776142
2 VM atorgava -9.24781505621
2 DT Quina -3.27714473299
2 NP Rhodri_el_Gran -10.139083253
2 NP Vielsalm -11.5253776142
2 ZZ 1571-1580 -10.2466516344
2 NP Jean_Iè_de_Liechtenstein -11.5253776142
2 NP Seat_Alhambra -10.8322304336
2 WW 11_d'_abril_de_1979 -8.44569718971
2 NP Edmond_Locard -11.5253776142
2 NC insecte -8.52011794242
2 NP Ed._Paidós -11.5253776142
2 RG it -8.58867629304
2 NP Lychnidus -11.5253776142
2 NP Son -10.4267653255
2 NP Sol -7.81180554746
2 NP Som -11.5253776142
2 NP Soc -9.73361814493
2 NC aletes -11.9541051469
2 NP Joanot_Colom -11.5253776142
2 NP Soy -11.5253776142
2 VM detallat -10.0951129166
2 VM afectaren -11.1937252053
2 NP Laszlo_Héltay -11.5253776142
2 NC urbanístico -11.9541051469
2 NP Sot -11.5253776142
2 NC privacions -11.9541051469
2 NP Unibet -9.91593970173
2 NP Hispavisión -11.5253776142
2 NP Saderra -11.5253776142
2 NP El_Roto -11.5253776142
2 SP cap -9.83249779063
2 WW agost_de_1916 -7.75255000915
2 WW agost_de_1917 -8.44569718971
2 NC causa -7.53526453911
2 NC Plaques -11.2609579663
2 AQ franceses -7.07883871026
2 NP Paràboles -11.5253776142
2 VM acompanyats -9.40196573604
2 RG mortalment -8.87635836549
2 AQ seculars -10.7424003564
2 NP Escena -10.139083253
2 NP Big_Bang -10.8322304336
2 NP Vatinia -9.44593607248
2 NP Gavino_Sanna -11.5253776142
2 NP Óscar_Latas_Alegre -11.5253776142
2 ZZ 84-335-9424-9 -10.2466516344
2 NC agonia -11.9541051469
2 NC netejador -11.9541051469
2 NC còpula -10.8554928582
2 NP The_Whales -11.5253776142
2 NC personeco -11.9541051469
2 WW 28_de_febrer -7.75255000915
2 NP Balcans -8.75278889192
2 NC concebut -10.5678107858
2 VM servida -11.1937252053
2 NC sentència -9.2460549458
2 AQ pàl·lid -10.7424003564
2 NC post-rock -11.9541051469
2 NC fulminante -11.9541051469
2 VM citen -11.1937252053
2 NP Guinea -8.4343351608
2 VM descoberts -11.1937252053
2 ZZ 247-255 -10.2466516344
2 NP Diego_Cristóbal_Túpac_Amaru -11.5253776142
2 AQ solar -7.05352090227
2 VM Partint -11.1937252053
2 NP C.V._de_la_Parròquia_de_Bigues -11.5253776142
2 VM broma -11.1937252053
2 NP Unió_Democràtica_de_Catalunya -10.4267653255
2 ZZ 381 -9.14803934578
2 ZZ 380 -9.55350445389
2 ZZ 383 -8.45489216522
2 ZZ 382 -8.86035727333
2 ZZ 385 -9.14803934578
2 ZZ 384 -10.2466516344
2 ZZ 387 -9.14803934578
2 ZZ 386 -8.16721009277
2 ZZ 389 -8.86035727333
2 ZZ 388 -8.86035727333
2 VM desitjava -8.99650062793
2 WW 8_de_juny_de_1985 -7.75255000915
2 NP Becskerel -11.5253776142
2 AQ reflex -10.7424003564
2 NC tragèdies -10.0081949978
2 NP Guerra_d'_Independència_Americana -11.5253776142
2 NP Alarde_d'_Hondarribia -11.5253776142
2 AQ simples -8.17745099893
2 ZZ 958-9262-02-3 -10.2466516344
2 AQ oriental -6.28805306014
2 NP Bill_Watson -11.5253776142
2 NC dosi -11.2609579663
2 AQ medievalista -10.7424003564
2 NC freds -10.5678107858
2 VM Format -11.1937252053
2 NP Seat_Altea_Freetrack -11.5253776142
2 RG eye -9.97497065416
2 NC contra -11.2609579663
2 NP Castell_d'_Era_Castèra -11.5253776142
2 VM incorporant -9.80743084415
2 NP Baronia_d'_Entença -11.5253776142
2 NC muntacàrregues -11.9541051469
2 NP Houkou -11.5253776142
2 NP Capella_Castellani -11.5253776142
2 NP Sala_Gaspar -11.5253776142
2 NC treu -10.5678107858
2 NC tret -9.18151642466
2 NP Tal_vegada -11.5253776142
2 NP Imperi_Maurya -11.5253776142
2 VM script -11.1937252053
2 NC reserva -8.45759758544
2 NP Illa_per_els_Estats_Units -11.5253776142
2 NP Black_Girl -11.5253776142
2 NP Jocs_Florals_de_Santiago_de_Xile -11.5253776142
2 NP Charles_Howard -11.5253776142
2 NP Cap_d'_Ala -11.5253776142
2 AQ vocal -7.85202859849
2 NC tren -8.77605131655
2 ZZ 525 -10.2466516344
2 NP Sherco_Academy -10.8322304336
2 ZZ 526 -10.2466516344
2 ZZ 521 -10.2466516344
2 ZZ 520 -9.55350445389
2 WW maig_del_1930 -8.44569718971
2 ZZ 522 -8.30074148539
2 VM ejectat -11.1937252053
2 AQ voladís -10.7424003564
2 ZZ 529 -10.2466516344
2 ZZ 16.660 -10.2466516344
2 VM ejectar -11.1937252053
2 NP Liberalism -11.5253776142
2 NC díode -11.9541051469
2 NC cotxeres -11.9541051469
2 NP Kenneth_S._Williams -10.8322304336
2 NP Mihai -11.5253776142
2 NP Welshpool -11.5253776142
2 NP Short_Notice -11.5253776142
2 NP Tervueren -11.5253776142
2 VM industrialitzats -11.1937252053
2 NC romanents -10.8554928582
2 NP Udach -11.5253776142
2 NC foça -11.9541051469
2 VM movia -10.0951129166
2 NC ametralladores -11.9541051469
2 NP Llenguadoc -11.5253776142
2 NC frec -11.9541051469
2 NC imperialisme -11.9541051469
2 NP Cortes -11.5253776142
2 NP Caribbean_Stud_Poker -11.5253776142
2 VM cinquième -11.1937252053
2 NP Cortez -8.6921642701
2 AQ honorífica -10.0492531758
2 VM heretar -8.89114011227
2 VM heretat -9.80743084415
2 NC època -6.57882673922
2 NP Pilar_Garriga -11.5253776142
2 NC hombres -11.9541051469
2 RG competentment -9.97497065416
2 NP Joan_Lluís_Bozzo -10.8322304336
2 NC roquy -11.9541051469
2 AQ conciliis -10.7424003564
2 AQ love -10.7424003564
2 NC zanpakut -11.2609579663
2 VM lutzi -9.40196573604
2 VM originades -10.5005780247
2 NP Tempelhof -11.5253776142
2 ZZ aC-30 -10.2466516344
2 NC fonda -10.5678107858
2 NP IRC -10.4267653255
2 NC depòsits -11.9541051469
2 VM entressin -10.0951129166
2 NC calendes -11.2609579663
2 NP Edited -11.5253776142
2 NP Crawdaunt -10.8322304336
2 ZZ 3-7013-1102-1 -10.2466516344
2 NP Joan_Verdaguer -10.8322304336
2 VM ocupés -11.1937252053
2 NP Frontissa -11.5253776142
2 NC empresària -11.2609579663
2 WW 7_d'_agost_de_1920 -8.44569718971
2 NP Marià_Villangómez -10.8322304336
2 WW 16_d'_octubre -7.34708490104
2 NP Fundació_CIREM -11.5253776142
2 NP Lissa_Ross -11.5253776142
2 NP Recopilació -11.5253776142
2 NC intelligèntsia -11.9541051469
2 NP Ginny -8.9604282567
2 NP Pericos -10.4267653255
2 VM obligada -8.89114011227
2 NP Joana_de_York -11.5253776142
2 NC compañía -11.2609579663
2 VM Reconeix -11.1937252053
2 NP Castellfollit_de_el_Boix -11.5253776142
2 NC Fitxa -11.2609579663
2 NC multi-plataforma -11.9541051469
2 NP Asociación_de_Internautas -11.5253776142
2 NP Egospòtams -10.8322304336
2 NC nivescens -11.9541051469
2 NC inspectors -9.87466360522
2 AQ mariner -10.7424003564
2 AQ marines -9.64378806772
2 NC allò -11.9541051469
2 NP Aegyptopithecus -11.5253776142
2 NP Music_Ltd. -10.4267653255
2 NC moneda -9.2460549458
2 NC escaire -11.9541051469
2 NP Real_Círculo_Artístico -11.5253776142
2 NP Acadèmia_d'_Esperanto -11.5253776142
2 ZZ 464m -10.2466516344
2 VM patida -11.1937252053
2 NC failover -11.9541051469
2 AQ efluents -10.7424003564
2 NP Okpeden -11.5253776142
2 AQ casus -10.7424003564
2 NP Institut_d'_Arts_de_Detroit -11.5253776142
2 VM emmirallin -11.1937252053
2 NC defecte -9.75688056957
2 VM identificat -9.40196573604
2 NP España_Industrial -11.5253776142
2 VM ascendís -11.1937252053
2 NP Cleombrot_d'_Esparta -11.5253776142
2 NP Nemausus -11.5253776142
2 RG per_càpita -8.36553274172
2 NP Phrynella -11.5253776142
2 NP Kangerluk -11.5253776142
2 NP Musicà -11.5253776142
2 AQ irritable -10.0492531758
2 NP Lluís_Brú -11.5253776142
2 NC confinament -11.2609579663
2 NP Sinonet -11.5253776142
2 ZZ 46 -7.94406654145
2 NC paràlisi -11.2609579663
2 NC domicilis -11.9541051469
2 NC lndalecio -11.9541051469
2 NC Instrumentació -11.9541051469
2 VM premiada -11.1937252053
2 AQ aestimatione -10.7424003564
2 VM adaptaven -11.1937252053
2 NC patinatge_artístic -11.9541051469
2 NC exercicis -10.1623456777
2 WW 15_de_febrer_de_1943 -7.34708490104
2 AQ culta -8.95064088716
2 NC reorientación -11.9541051469
2 NP Alicia_Nash -11.5253776142
2 AQ culte -10.0492531758
2 NP Hargreaves -11.5253776142
2 NC matalassos -11.9541051469
2 VM re-fortificar -11.1937252053
2 AQ civils -7.65135790303
2 AQ inútils -9.35610599527
2 AQ aboslut -10.7424003564
2 NP Ministeri_de_Treball -11.5253776142
2 AQ centenaris -10.7424003564
2 NC guardons -11.2609579663
2 NC gaudiallgaudi -11.9541051469
2 VM acudien -11.1937252053
2 NP Swan_Lake -11.5253776142
2 VM adorant -11.1937252053
2 NP Bessie_Watty -11.5253776142
2 NP Bolsward -11.5253776142
2 AQ simple -7.21603983177
2 NC logo -11.9541051469
2 NC transicions -11.9541051469
2 NP Rábacsécsény -11.5253776142
2 VM demanar -7.16837351453
2 AQ verda -8.03435015529
2 VM serie -8.79582993247
2 VM fruit -9.80743084415
2 VM seria -10.0951129166
2 NP Eudald_Xuriguera -11.5253776142
2 NP Pagans_Monsalvatje -11.5253776142
2 VM resava -11.1937252053
2 NP All_This -11.5253776142
2 AQ verds -9.64378806772
2 VM sive -11.1937252053
2 NP Associació_d'_Amics_de_Castells_d'_Espanya -11.5253776142
2 NP Lisboa -10.139083253
2 WW 19_de_maig_de_1536 -7.75255000915
2 NC baluensis -10.1623456777
2 VM escalà -11.1937252053
2 NP Wrecking -11.5253776142
2 VM Té_lloc -11.1937252053
2 NP Filip_de_Crotona -10.8322304336
2 ZZ 4_mil_milions -9.14803934578
2 ZZ 23-66 -10.2466516344
2 NP Almansa -11.5253776142
2 NP Dècim_Brut -10.8322304336
2 AQ nebulosa -8.95064088716
2 AQ lel -10.7424003564
2 VM desflogisticat -10.5005780247
2 VM farem -10.0951129166
2 NC entresol -11.9541051469
2 PI hom -3.53879849591
2 NP La_Torre_de_el_Comte -11.5253776142
2 NP El_Ferrocarril_de_Sant_Feliu_de_Guixols -11.5253776142
2 NC agermanat -11.9541051469
2 NP Yuri -11.5253776142
2 NP Asse -11.5253776142
2 NP Rencontres_Folkloriques_Internationales -11.5253776142
2 NP Teufel -11.5253776142
2 NP Canac_II -11.5253776142
2 NP Monde -11.5253776142
2 NP Monda -11.5253776142
2 NC protocol -10.3446672345
2 NC circulacions -10.8554928582
2 NP Vallès_Oriental -9.44593607248
2 NP Mudd_Club -11.5253776142
2 NP Universitària -11.5253776142
2 VM ramificar -11.1937252053
2 AQ huracanats -10.7424003564
2 NP Moughni_Publishers -11.5253776142
2 NC tribulació -11.9541051469
2 NP La_Calle_Real -11.5253776142
2 NC tosca -11.9541051469
2 ZZ 2004-05 -10.2466516344
2 AQ whiffle -10.7424003564
2 NP Estius -11.5253776142
2 NC factura -11.2609579663
2 NP Atatürk -11.5253776142
2 NC succés -10.0081949978
2 NP Trastàmara -11.5253776142
2 NC oscil·lació -10.8554928582
2 NP Avin-Hilet -11.5253776142
2 NP Ferran_el_Catòlic -11.5253776142
2 AQ provocant -9.64378806772
2 NP SS-Panzerkorps -11.5253776142
2 WW 29_d'_abril -7.34708490104
2 NC apostadors -11.9541051469
2 NP Lucca -11.5253776142
2 AQ cínics -10.7424003564
2 NP J._The_Face -11.5253776142
2 NC alarma -11.9541051469
2 AQ dual -8.43981526339
2 WW 13_de_juliol -8.44569718971
2 NC ègloga -11.9541051469
2 NP Ramón_Suárez_Picallo -11.5253776142
2 NP François_Perrou -11.5253776142
2 AQ respiratòries -10.7424003564
2 NP Can_Prat -9.5794674651
2 NP Bernardo_Atxaga -11.5253776142
2 VM afegia -10.5005780247
2 VM reprendre -8.30335344737
2 VM provocats -10.5005780247
2 VM afegit -8.70881855548
2 NP Aquil·les -10.4267653255
2 NC comentari -10.3446672345
2 NC dipositari -11.9541051469
2 RG proballement -9.97497065416
2 NP Foreruner -11.5253776142
2 NP Nova_Guinea_Britànica -11.5253776142
2 NP Picamoixons -11.5253776142
2 VM coquetejà -11.1937252053
2 VM presentats -10.5005780247
2 NP Arthur_Rimbaud -10.8322304336
2 RG En_essència -9.97497065416
2 VM ticket -11.1937252053
2 NC austrohongaresa -10.8554928582
2 NP Wikia -9.5794674651
2 NP Don_Branson -10.4267653255
2 AQ med-i -10.0492531758
2 NP Arthur_Baker -10.8322304336
2 WW 3_d'_abril_del_1923 -8.44569718971
2 VM mathematician -11.1937252053
2 NP Pink_Moon -11.5253776142
2 NC anticonceptius -11.2609579663
2 NP Bujalance_Còrdova -11.5253776142
2 NP Joan_Solà -11.5253776142
2 NP Vacuuming_Completely_Nude_In_Paradise -11.5253776142
2 NP Xavier_Montsalvatge -10.8322304336
2 NP Marshmallow_Coast -11.5253776142
2 WW 28_de_desembre_del_1578 -8.44569718971
2 VM bifurca -10.5005780247
2 NP I_Torneig_Diputació_de_Lleida -11.5253776142
2 NC pro-alemanys -11.9541051469
2 NP Jean_de_Liechtenstein -10.8322304336
2 VM aberta -11.1937252053
2 NP Orde_de_Sant_Miquel -11.5253776142
2 VM defuig -11.1937252053
2 VM firmats -11.1937252053
2 NP Medivh -10.8322304336
2 NP Carib -8.9604282567
2 NC xiquets -10.8554928582
2 AQ sumàries -10.7424003564
2 NP Universitat_de_la_República -11.5253776142
2 NP Enric_VIII -9.32815303682
2 NP Selene -11.5253776142
2 AQ inductiu -10.7424003564
2 NP Diòfites -11.5253776142
2 NC xiqueta -11.9541051469
2 NP Hanover -11.5253776142
2 NP The_Legacy -10.8322304336
2 NP Tercer_Informe_d'_Avaluació_de_el_GIECC -11.5253776142
2 NP Army_Reserve_Components_Overseas_Training_Ribbon -11.5253776142
2 NP Torre_de_Cristal -11.5253776142
2 NP Kanuni_Sulayman_d'_Istanbul -11.5253776142
2 NC eclèctic -11.9541051469
2 NC bispinosa -11.9541051469
2 NP Pantedos -11.5253776142
2 AQ essencials -9.35610599527
2 ZZ 4.165_m -10.2466516344
2 NP Alicia_Borrachero -11.5253776142
2 VM aparellen -10.5005780247
2 NP Rivas-Vaciamadrid -11.5253776142
2 NP Cherubi -10.8322304336
2 NP Façana -11.5253776142
2 NP Premi_de_el_IX_Cartell_de_Premis_Vila_de_Torredembarra -11.5253776142
2 NC lametraserillos -11.9541051469
2 NP Comte_de_Barcelona -10.4267653255
2 NP Jorge_Ferragut -11.5253776142
2 NC demanda -9.65152005391
2 NP Economia -8.58093863499
2 AQ mitjana -7.05352090227
2 NC Escrit -11.9541051469
2 NP Contaminació -11.5253776142
2 AQ providencial -10.7424003564
2 NP Felix_Doubles -11.5253776142
2 NC encreuament -10.1623456777
2 NP Imperial_Drag -11.5253776142
2 NP Terç_de_Requetès_de_la_Mare_de_Déu_de_Montserrat -11.5253776142
2 WW 5_de_setembre_de_1982 -7.75255000915
2 VM kumquat -11.1937252053
2 NP Julià_San_Valero_Aparisi -11.5253776142
2 VM collir -11.1937252053
2 NC comissari -9.5562098741
2 NP Innaarsuit -11.5253776142
2 NP Jungsturm_Adolf_Hitler -11.5253776142
2 AQ nòrdic -10.7424003564
2 NP Sant_Jaume_de_els_Domenys -10.139083253
2 NP Estudis_Literaris_de_la_Universitat_de_Guadalajara -11.5253776142
2 NC operands -10.5678107858
2 NC latín -11.2609579663
2 VM convenia -10.5005780247
2 NP Cambra -10.8322304336
2 VM complint -10.5005780247
2 VM convenir -11.1937252053
2 AQ estèvia -10.0492531758
2 NP Tau -11.5253776142
2 AQ isomètrica -10.7424003564
2 NP Menandre -10.4267653255
2 NP Ried -11.5253776142
2 WW 1_de_maig -7.05940282859
2 NC nanus -10.8554928582
2 AQ gal·lesos -8.34450508359
2 AQ interactives -10.7424003564
2 NP Sidamon -11.5253776142
2 NP Hivernacles -11.5253776142
2 NP Tac -10.8322304336
2 NP Tan -11.5253776142
2 NP Federico_Trillo-Figueroa_Martínez-Conde -11.5253776142
2 WW 22_de_gener_de_1905 -8.44569718971
2 ZZ 30-37 -10.2466516344
2 NC arquetip -11.9541051469
2 NC tuberculosi -11.9541051469
2 NC fang -9.38915578944
2 NC taurinas -11.9541051469
2 NP El_Mundo_Deportivo -11.5253776142
2 NC fans -9.18151642466
2 NP La_Florida -11.5253776142
2 NP Realment -11.5253776142
2 NP Sister -11.5253776142
2 NC temor -10.0081949978
2 NP Yokohama -11.5253776142
2 NP Spelaeophryne -11.5253776142
2 AQ delicades -9.64378806772
2 NP Canvi -11.5253776142
2 PP l' -3.13746855023
2 NP Gruffydd_Fychan_I -11.5253776142
2 NP Aníbal -10.139083253
2 NP Poitou_Charentes -10.8322304336
2 NC canyella -11.9541051469
2 FF -------- -11.8899225091
2 VM restablint -11.1937252053
2 NP Tokyo_Tales -11.5253776142
2 NP Elizabeth_Shine -11.5253776142
2 RG brutalment -8.87635836549
2 AQ benestant -10.0492531758
2 NP Fundació_Miró -11.5253776142
2 NC pujades -11.2609579663
2 NP Handeln -11.5253776142
2 NC cristià -10.1623456777
2 VM urpes -11.1937252053
2 AQ característics -8.79649020733
2 NP Mitsushige_Nabeshige -11.5253776142
2 RG Millor -9.97497065416
2 NC fòrum -9.87466360522
2 NC socors -10.5678107858
2 VM taxis -11.1937252053
2 NC musicòleg -11.9541051469
2 AQ incorrectes -10.0492531758
2 NC enterrament -10.3446672345
2 NC setmanari -9.75688056957
2 NP Mustafà_I -10.4267653255
2 NP Pop_Art -11.5253776142
2 PP la -3.40065960268
2 NP Gino_Severini -11.5253776142
2 VM renderitzat -11.1937252053
2 PP li -2.13265243654
2 NC dinasta -11.2609579663
2 VM boira -11.1937252053
2 VM temia -10.0951129166
2 WW segle_VIII -6.83625927728
2 NP Comunió -11.5253776142
2 VM entreveien -11.1937252053
2 NP Staravia -10.4267653255
2 ZZ 1715-1724 -10.2466516344
2 NC preexistència -11.9541051469
2 NP Favorí_d'_Arle -11.5253776142
2 WW 18_de_juliol -7.34708490104
2 NC ròtula -11.9541051469
2 VM moure -7.86152069509
2 NP Avemaria -11.5253776142
2 NP Carmen_Martín_Gaite_Usos -11.5253776142
2 NP Josep_Piqué -11.5253776142
2 ZZ Nv.31 -10.2466516344
2 NP Cotos -11.5253776142
2 NP Derdes -11.5253776142
2 NP Fill_de_Eumedes -11.5253776142
2 NP SS_Josef -11.5253776142
2 VM esfonsat -11.1937252053
2 VM uniria -11.1937252053
2 NP Jorge_Agostino -11.5253776142
2 NC wakaki -11.9541051469
2 NP Evolución -10.4267653255
2 AQ constant -7.15888141793
2 NP Juan_Bautista_Sánchez -11.5253776142
2 ZZ 1.700_metres -10.2466516344
2 ZZ tres-cents -9.14803934578
2 NC retransmisión -11.9541051469
2 VM felicitava -11.1937252053
2 VM coagul -11.1937252053
2 NC dramatúrgia -11.2609579663
2 NC transcurs -9.46919849711
2 NP Tonquín -9.73361814493
2 VM castigava -10.5005780247
2 NP DOMINGUEZ_ORTIZ -11.5253776142
2 NC nazis -9.31504781729
2 NP Molins_de_Rei-Barcelona -11.5253776142
2 NC guaita -10.5678107858
2 VM integrat -8.48567500417
2 VM integrar -7.50484575115
2 ZZ 124_quilòmetres -10.2466516344
2 NP Óscar_Cavallero -11.5253776142
2 VM Determinades -11.1937252053
2 AQ commemoratives -10.7424003564
2 VM té_lloc -8.05823098934
2 WW 18_d'_agost_de_1972 -8.44569718971
2 NP José_Antonio_Morera_Torres -11.5253776142
2 NC Quaderns -11.9541051469
2 NP Capitol -11.5253776142
2 AQ sindicals -9.64378806772
2 NP OSE -11.5253776142
2 NP Super_Li-Shinron -11.5253776142
2 NP Castell_de_Peníscola -11.5253776142
2 ZZ 1672 -8.63721372201
2 ZZ 1671 -10.2466516344
2 ZZ 1670 -9.55350445389
2 ZZ 1677 -10.2466516344
2 ZZ 1675 -9.55350445389
2 NC bandaeliminada -10.8554928582
2 VM aniria -10.5005780247
2 ZZ 1679 -10.2466516344
2 AQ màximes -10.7424003564
2 NC intempèrie -11.9541051469
2 NP Monestir_de_Sant_Miquel_de_el_Fai -11.5253776142
2 NP Puigpelat -11.5253776142
2 NP Racó_de_Barkmann -11.5253776142
2 NC privilegium -11.9541051469
2 NP Cuatro_Vientos -10.8322304336
2 AQ sol -7.74666808283
2 NC defunció -10.5678107858
2 NP Moldàvia_República_Democràtica_Moldava -11.5253776142
2 NP Olivia_de_Havilland -11.5253776142
2 NP Arthroleptidae -10.139083253
2 NP Caça -11.5253776142
2 NP Wooden_Dummy -11.5253776142
2 NP E._Allan_Lightner -11.5253776142
2 NP Can_Cuyàs_de_la_Riera -11.5253776142
2 NC telers -10.8554928582
2 NP Marcuse -11.5253776142
2 VM definia -11.1937252053
2 AQ estètiques -9.64378806772
2 NP La_Nova_Revista -11.5253776142
2 NP La_Corunya -9.44593607248
2 NP Polly-Tics -11.5253776142
2 RG tal -8.0290605051
2 RG tan -5.17918010856
2 NC lírica -11.9541051469
2 VM definit -8.79582993247
2 NC carbur -11.9541051469
2 NP Radioactivitat -11.5253776142
2 NP Agàtocles_de_Bactriana -11.5253776142
2 RG fàcilment -6.41962259267
2 NP Riksdag_de_els_Estats -11.5253776142
2 NP Mar_Morta -11.5253776142
2 NP Ortiz -10.4267653255
2 NP Cor_Petit_Jr -10.4267653255
2 NP Sietemo -10.4267653255
2 NP Pertús -11.5253776142
2 NP Baire_Category_Theorem -11.5253776142
2 NP Emmanouil_Tsouderos -11.5253776142
2 NP Sant_Roc -10.4267653255
2 NC generali -11.9541051469
2 VM portion -11.1937252053
2 RG nicht -9.2818234736
2 NC ansietat -10.3446672345
2 NP Cinto -10.8322304336
2 VM convertís -10.5005780247
2 AQ francs-or -10.7424003564
2 VM aconseguiran -11.1937252053
2 NP Termens -11.5253776142
2 NP Cinta -10.8322304336
2 NC generals -11.2609579663
2 NP C.A._&_Caramaschi -11.5253776142
2 WW 22_de_novembre_de_1617 -8.44569718971
2 NC ètnies -10.3446672345
2 NP Abadia_de_Sant_Andreu_de_Barravés -11.5253776142
2 WW 10_de_juliol_de_1760 -8.44569718971
2 AQ perjudicials -10.7424003564
2 NP Lizondo -9.91593970173
2 AQ distribution -10.0492531758
2 VM perviuen -11.1937252053
2 VM fregir -11.1937252053
2 VM fregit -11.1937252053
2 NC brachypus -10.8554928582
2 WW 13_de_març_de_1919 -8.44569718971
2 RG cuveé -9.97497065416
2 NC expressió -8.12546375041
2 AQ expectatives -10.7424003564
2 NP Collasuyo -11.5253776142
2 SP prop -10.679795651
2 NC decrement -11.9541051469
2 WW 19_d'_agost -7.75255000915
2 NC legislación -11.9541051469
2 NP Rupilia -11.5253776142
2 VM regressat -11.1937252053
2 VM regressar -9.80743084415
2 VM afusellat -9.11428366359
2 NP Tecstual -10.8322304336
2 ZZ 15_quilòmetres -10.2466516344
2 NP Pomorska -10.8322304336
2 VM exasperada -11.1937252053
2 NP Italiam -11.5253776142
2 NC vanzolinii -11.2609579663
2 NP Móra_d'_Ebre -10.8322304336
2 AQ radiofònic -10.0492531758
2 VM encarats -11.1937252053
2 AQ anti-britànica -10.7424003564
2 NP Podòlia -11.5253776142
2 NC pallola -11.9541051469
2 NP Pelayo_II -11.5253776142
2 VM presidit -8.99650062793
2 NC capil·lars -11.2609579663
